"","Season","Week","Team","R","HR","RBI","SB","OBP","SLG","K","QS","W","SV","ERA","WHIP"
"220",2011,19,"The Green Monsters",48,18,49,5,0.378,0.5614,52,5,2,0,7.082,1.656
"221",2011,19,"M-Square Sliders",46,9,33,4,0.3094,0.4173,77,10,8,3,2.482,1.114
"222",2011,19,"Over The Baggy",28,9,39,6,0.2983,0.3887,41,5,6,3,5.016,1.393
"223",2011,19,"Team Lopez",34,11,44,3,0.3971,0.5524,57,6,5,2,2.332,1.009
"224",2011,19,"Team Mitchell",28,7,26,7,0.3383,0.4245,40,3,3,6,5.617,1.409
"225",2011,19,"Kansas Sleazy",39,14,40,5,0.3569,0.5,49,4,2,3,5.241,1.341
"226",2011,19,"KC Black Stars",50,16,47,7,0.379,0.5421,68,7,5,6,2.372,1.004
"227",2011,19,"StraightEdge Racers",30,8,31,2,0.3309,0.4017,66,7,4,3,2.478,0.986
"228",2011,19,"$1 Hot Dog Night",30,7,33,8,0.3481,0.4164,55,6,4,6,2.761,1.21
"229",2011,20,"The Green Monsters",38,11,26,6,0.3429,0.4583,59,7,6,3,3.375,1.344
"230",2011,20,"Have You Seen My Baseball?",39,8,40,7,0.3367,0.4,50,6,2,3,4.94,1.277
"231",2011,20,"Over The Baggy",35,12,40,4,0.3627,0.5313,47,4,3,3,2.436,1.15
"232",2011,20,"Rage Against  The MaSHEEN!",42,10,42,9,0.3362,0.4241,73,5,6,1,4.295,1.405
"233",2011,20,"Team Mitchell",32,8,38,6,0.3736,0.4915,48,3,3,7,5.178,1.418
"234",2011,20,"M-Square Sliders",42,10,35,3,0.3381,0.4585,59,6,3,1,4.096,1.399
"235",2011,20,"KC Black Stars",56,20,52,2,0.3668,0.5475,62,7,5,7,3.013,1.138
"236",2011,20,"Team Lopez",35,11,34,8,0.3448,0.4943,35,2,4,2,3.531,1.523
"237",2011,20,"$1 Hot Dog Night",39,12,37,6,0.3493,0.4831,63,3,1,0,6.517,1.642
"238",2011,20,"Kansas Sleazy",35,8,30,5,0.3345,0.3849,44,3,4,2,4.328,1.443
"239",2011,20,"6-4-3 Dobermans",30,8,22,5,0.318,0.3969,28,3,2,1,3.14,1.395
"240",2011,20,"StraightEdge Racers",22,3,21,0,0.3298,0.3795,37,3,3,1,5.084,1.461
"241",2011,21,"#4 M-Square Sliders",77,19,69,10,0.339,0.4149,150,14,9,7,3.418,1.203
"242",2011,21,"#1 KC Black Stars",90,29,95,14,0.3308,0.4553,144,13,9,13,3.873,1.278
"243",2011,21,"#3 $1 Hot Dog Night",91,15,75,14,0.3374,0.4148,137,11,8,11,4.926,1.393
"244",2011,21,"#2 Kansas Sleazy",76,13,77,10,0.3536,0.4537,100,10,13,10,2.419,1.032
"245",2011,21,"#6 The Green Monsters",61,16,59,9,0.3278,0.4342,121,14,10,5,2.915,1.141
"246",2011,21,"#5 Rage Against  The MaSHEEN!",82,17,68,9,0.3312,0.4059,138,11,12,0,4.097,1.29
"247",2011,21,"#8 Team Mitchell",54,13,67,7,0.3464,0.4109,110,10,5,10,3.546,1.048
"248",2011,21,"#7 StraightEdge Racers",60,14,52,5,0.3262,0.4049,105,10,10,3,3.418,1.149
"249",2011,21,"#10 Team Lopez",88,18,69,10,0.3695,0.4707,91,9,6,6,3.576,1.301
"250",2011,21,"#9 Have You Seen My Baseball?",86,26,85,12,0.3534,0.5058,89,9,4,8,4.536,1.344
"251",2011,21,"#12 6-4-3 Dobermans",48,13,57,15,0.3249,0.3925,47,3,4,0,4.585,1.302
"252",2011,21,"#11 Over The Baggy",72,20,72,5,0.3541,0.498,100,7,5,7,3.555,1.26
"253",2011,22,"#2 Kansas Sleazy",90,27,70,14,0.3773,0.4868,105,12,8,5,3.617,1.299
"254",2011,22,"#1 KC Black Stars",91,23,82,16,0.3302,0.431,179,17,15,15,2.93,1.022
"255",2011,22,"#4 M-Square Sliders",75,14,71,17,0.3382,0.4153,108,10,8,7,3.209,1.279
"256",2011,22,"#3 $1 Hot Dog Night",84,17,68,22,0.3516,0.3951,132,14,10,11,3.639,1.252
"257",2011,22,"#8 Team Mitchell",74,18,71,9,0.3627,0.488,103,8,6,9,3.036,1.234
"258",2011,22,"#5 Rage Against  The MaSHEEN!",76,18,76,10,0.3869,0.4722,154,12,9,0,3.35,1.228
"259",2011,22,"#10 Team Lopez",88,30,93,8,0.3361,0.4495,113,11,9,6,3.126,1.074
